305,,,,,,,,,,,,,,,,,,,99,항공운송물류,,,,,,,,,,,103,현대글로비스 물류비즈니스,,,103,현대글로비스 물류비즈니스,,,,,,,,,,,,,,,,,,,99,항공운송물류,,,,,,,,,,,,,,,,,,,,,,,104,경영전략(캡스톤디자인),,,104,경영전략(캡스톤디자인),89,경영전략(캡스톤디자인),,,89,경영전략(캡스톤디자인)
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,CAU세미나(2),,,,,98,경제학개론(1),,,98,경제학개론(1)
311,,,,,,,17,CAU세미나(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAU세미나(2),18,,,,,,29,유통서비스경제론,,,29,유통서비스경제론,,,,,,,,,,,,,,,,,,,,,,,,,80,21세기기업경영,,,80,21세기기업경영,,,,,,
312,58,공업수학(2),58,공업수학(2),97,고분자재료,97,고분자재료,14,반응공학(2),14,반응공학(2),54,공정제어,54,공정제어,,,72,일반화학(2),72,일반화학(2),16,일반물리학(2),16,일반물리학(2),,,,,,,,,83,화공특강,72,일반물리학(2),72,일반물리학(2),97,고분자재료,,,14,반응공학(2),,,54,공정제어,,,,,,,,,,,,,24,공업수학및연습(2),,,,,24,공업수학및연습(2),,,,,,,,,,,,,,,,,,,,
315,,,,,,,51,공업수학(2),59,공정제어,63,열과물질전달,50,열과물질전달,50,열과물질전달,,,49,물리화학(2),49,물리화학(2),60,화학공학개론,60,화학공학개론,,,49,화학공학개론,66,물리화학(2),66,물리화학(2),,,,,58,공업수학(2),51,공업수학(2),51,공업수학(2),63,열과물질전달,63,열과물질전달,50,열과물질전달,,,,,,,49,물리화학(2),,,60,화학공학개론,49,화학공학개론,49,화학공학개론,,,66,물리화학(2),,,,,,,,,,,,,,,,,,,,
316,54,유기화학(2),,,66,유기화학(2),66,유기화학(2),,,17,무기화학,53,선형대수학,,,53,선형대수학,42,상과화학평형,42,상과화학평형,60,상과화학평형,60,상과화학평형,,,59,화공양론(2),,,,,,,54,유기화학(2),54,유기화학(2),74,공업수학(2),66,유기화학(2),17,무기화학,17,무기화학,47,신재생에너지,,,47,신재생에너지,,,42,상과화학평형,60,상과화학평형,,,59,화공양론(2),59,화공양론(2),,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,41,건축구조계획,41,건축구조계획,,,,,,,,,11,CAU세미나(2),,,,,42,교통운영,,,,,,,36,한국건축사,,,36,한국건축사,,,,,,,,,,,,,30,환경과학,,,30,환경과학,,,,,42,교통운영,42,교통운영,,,,,33,도시설계,,,33,도시설계,,,,,,,,,,,,,28,도시재생,,,28,도시재생
410,,,,,,,17,CAU세미나(2),,,,,43,통계프로그래밍(2),,,43,통계프로그래밍(2),,,,,,,,,,,,,,,,,,,27,자료분석론(2),,,27,자료분석론(2),,,,,,,43,자료분석론(2),,,43,자료분석론(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,통계프로그래밍(2),,,30,통계프로그래밍(2)
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,CAU세미나(2),,,,,,,,,18,CAU세미나(2),,,,,,,,,,,,,,,,,,,65,경영학원론,,,65,경영학원론,46,비주얼 커뮤니케이션,,,46,비주얼 커뮤니케이션,,,,,,
414,,,99,모바일 앱 개발,,,,,12,도로디자인실습,12,도로디자인실습,63,역학의이해,,,63,역학의이해,,,65,선형대수학,16,생체재료,16,생체재료,17,건설사업관리학,17,건설사업관리학,40,한국사,40,한국사,,,24,건설환경플랜트(종합)설계,,,,,24,건설환경플랜트(종합)설계,,,,,87,지방행정론,,,87,지방행정론,57,일반물리학(2),57,일반물리학(2),16,생체재료,,,,,17,건설사업관리학,59,국제정치학개론,,,59,국제정치학개론,22,건설환경플랜트(종합)설계,,,,,22,건설환경플랜트(종합)설계,39,지반설계,,,,39,지반설계,,,
417,27,토질역학(2),27,토질역학(2),12,도로디자인,12,도로디자인,45,창의와소통,45,창의와소통,45,창의와소통,45,창의와소통,11,CAU세미나(2),,,,,20,암반역학,,,,,,,50,콘크리트구조설계,,,50,콘크리트구조설계,39,앙트레프레너십시대의회계,39,앙트레프레너십시대의회계,58,앙트레프레너십시대의회계,58,앙트레프레너십시대의회계,31,통계학,31,통계학,,,,,,,,,,,20,암반역학,20,암반역학,22,암반역학,22,암반역학,70,21세기기업경영,,,70,21세기기업경영,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,공정제어,49,공정제어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,44,정역학,44,정역학,33,토질역학(2),33,토질역학(2),29,개수로수리학,,CAU세미나(2),29,개수로수리학,,,,,34,열역학(2),34,열역학(2),28,공업수학및연습(2),,,,,28,공업수학및연습(2),,,69,앙트레프레너십시대의회계,69,앙트레프레너십시대의회계,44,정역학,,,,,,,37,개수로수리학,,,37,개수로수리학,,,,,34,열역학(2),,,42,앙트레프레너십시대의회계,42,앙트레프레너십시대의회계,26,수치해석,,26,수치해석,,,,12,선형대수학,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,13,CAU세미나(2),,,,,,,,,,,,,27,원자로이론,,,27,원자로이론,,,,,,,,,,,,,,,,,,,,,,,,,,,70,앙트레프레너십시대의회계,70,앙트레프레너십시대의회계,,,,,,,32,전기기기구동,,,32,전기기기구동,,,,,,,,,,,,
420,,,,,,,,,,,,,57,선형대수학,,,57,선형대수학,,,,,,,,,,,,,94,사회복지발달사,,,94,사회복지발달사,,,,,,,,,,,,,48,신재생에너지,,,48,신재생에너지,,,,,,,,,,,,,38,전기에너지시스템프로젝트,,,38,전기에너지시스템프로젝트,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,11,CAU세미나(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,기계에너지시스템프로젝트,,,,,,,16,원자력안전규제,14,원자력안전공학,14,원자력안전공학,16,원자력에너지시스템프로젝트,,,16,원자력에너지시스템프로젝트,8,원자력계통해석,,,8,원자력계통해석,,,,,,,,,,,,
422,,,,,25,교통계획론(2),25,교통계획론(2),,,,,14,해안공학및설계,,,14,해안공학및설계,,,,,,,,,,,,,21,도시개발론,,,21,도시개발론,,,,,25,교통계획론(2),,,24,국토및지역계획,24,국토및지역계획,17,해안공학및설계,,,17,해안공학및설계,,,,,,,,,,,,,,,,,,,,,,,,,,,24,국토및지역계획,,,,,,,,
502,,,,,,,17,CAU세미나(2),,,,,9,교통안전공학,,,9,교통안전공학,,,,,45,ACT,45,ACT,,,,,17,비즈니스커뮤니케이션(2),,,,,,,,,,,17,CAU세미나(2),45,글쓰기,45,글쓰기,45,글쓰기,45,글쓰기,,,42,E-STARTUP과 소셜마케팅(종합설계),,,42,E-STARTUP과 소셜마케팅(종합설계),,,,,,,17,비즈니스커뮤니케이션(2),,,,,19,글쓰기,19,글쓰기,,,17,CAU세미나(2),,,,,,,,,,
503,,,9,시계열분석론(2),,,19,CAU세미나(2),,,46,통계수학(2),33,환경과학,,,33,환경과학,,,49,통계수학(2),49,통계수학(2),,,,,,,,,,,,,,,9,시계열분석론(2),9,시계열분석론(2),17,CAU세미나(2),46,통계수학(2),46,통계수학(2),52,설득커뮤니케이션,,,52,설득커뮤니케이션,,,49,통계수학(2),49,통계수학(2),17,CAU세미나(2),,,,,,,,,,,32,콘텐츠산업 비즈니스 전략,,,32,콘텐츠산업 비즈니스 전략,,,,,,,,,,,,
505,,,95,물류시스템분석,95,물류시스템분석,,,,,,,,,,,,,,,122,운송물류경제론,122,운송물류경제론,77,한국경제경영의이해(2),,,77,한국경제경영의이해(2),,,,,,,,,95,물류시스템분석,95,물류시스템분석,,,,,,,64,CJ 대한통운 물류비즈니스(2),,,64,CJ 대한통운 물류비즈니스(2),,,122,운송물류경제론,122,운송물류경제론,80,경영통계학,,,80,경영통계학,,,,,,,134,통상과 지역연구,,,134,통상과 지역연구,133,동북아물류혁신론,,,133,동북아물류혁신론,,,,,,
512,,,38,SW 프로그래밍Ⅰ,38,SW 프로그래밍Ⅰ,,,41,소프트웨어 보안,41,소프트웨어 보안,39,SW 프로그래밍Ⅰ,39,SW 프로그래밍Ⅰ,,,,,,,,,,,15,산업보안 프로젝트 Ⅱ(캡스톤디자인),15,산업보안 프로젝트 Ⅱ(캡스톤디자인),17,보안 데이터 분석,17,보안 데이터 분석,,,38,SW 프로그래밍Ⅰ,,,38,SW 프로그래밍Ⅰ,,,41,소프트웨어 보안,41,소프트웨어 보안,38,SW 프로그래밍Ⅰ,,,38,SW 프로그래밍Ⅰ,,,,,,,,,15,산업보안 프로젝트 Ⅱ(캡스톤디자인),15,산업보안 프로젝트 Ⅱ(캡스톤디자인),17,보안 데이터 분석,,,17,보안 데이터 분석,,,,,,,19,기업가정신과 보안윤리,,,19,기업가정신과 보안윤리,27,최신 ICT와 보안,,,27,최신 ICT와 보안
513,,,70,조직행동론,,,70,조직행동론,,,,,49,DEBATE IN BUSINESS,,,49,DEBATE IN BUSINESS,,,78,유통서비스경제론,78,유통서비스경제론,,,78,경제학특강,78,경제학특강,80,국제금융론,80,국제금융론,,,,,70,조직행동론,70,조직행동론,,,,,,,44,글쓰기,44,글쓰기,,,,,78,유통서비스경제론,78,유통서비스경제론,9,CAU세미나(2),78,경제학특강,78,경제학특강,80,국제금융론,80,국제금융론,,,31,이산시간금융공학,,,31,이산시간금융공학,70,후생경제학,,,70,후생경제학,,,,,,
514,45,창의와소통,45,창의와소통,90,메카트로닉스,90,메카트로닉스,,,70,고체역학(2),80,시스템해석,80,시스템해석,31,공학설계입문,44,신제조공학,44,신제조공학,,메카트로닉스,47,유한요소법개론,67,유체역학(1),67,유체역학(1),,,85,생활속의생명과학,,,,,85,생활속의생명과학,90,메카트로닉스,,,70,고체역학(2),70,고체역학(2),80,시스템해석,,,,,,,44,신제조공학,,,,,67,유체역학(1),,,48,유체역학(1),48,유체역학(1),,,,,,,47,유한요소법개론,47,유한요소법개론,,,,,69,선형대수학,,,69,선형대수학
517,46,선형대수학,46,선형대수학,55,공업수학(2),55,공업수학(2),,,70,고체역학(2),80,시스템해석,42,신제조공학,,,55,일반물리(2),55,일반물리(2),64,열역학(2),64,열역학(2),,,,,70,일반물리학(2),70,일반물리학(2),11,CAU세미나(2),46,선형대수학,,,46,선형대수학,58,정역학,70,고체역학(2),70,고체역학(2),80,시스템해석,80,시스템해석,32,공학설계입문,41,일반물리(2),41,일반물리(2),64,열역학(2),,,55,실험계획법및최적설계,55,실험계획법및최적설계,60,한국사,60,한국사,,,39,일반물리학(2),39,일반물리학(2),58,정역학,58,정역학,,,,,70,선형대수학,,,70,선형대수학
518,,,,,,,,,37,소음/진동제어,37,소음/진동제어,64,시스템해석,64,시스템해석,11,CAU세미나(2),,,,,65,열역학(2),65,열역학(2),52,실험계획법및최적설계,52,실험계획법및최적설계,46,열전달,,,48,공학설계입문,44,앙트레프레너십시대의회계,44,앙트레프레너십시대의회계,,,,,37,소음/진동제어,,,64,시스템해석,,,,,,,,,65,열역학(2),,,,,52,실험계획법및최적설계,46,열전달,46,열전달,,,,,,,,,,,48,공학설계입문,,,,,,,,
518,,,,,74,공업수학(2),74,공업수학(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,건축구조계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,,,,,74,공업수학(2),74,공업수학(2),,,52,고체역학(2),27,열전달,,,11,CAU세미나(2),,,,,43,정역학,43,정역학,68,유체역학(1),55,실험계획법및최적설계,58,열전달,58,열전달,,,,,,,74,공업수학(2),,,52,고체역학(2),52,고체역학(2),27,열전달,27,열전달,,,,,,,,,,,68,유체역학(1),68,유체역학(1),,,58,열전달,47,공학설계입문,,,,,43,정역학,,,,,,,,,,,,
520,,,,,,,55,정역학,34,유체기계및설계,,,35,재료거동,53,신제조공학,,,,,,,22,건설사업관리학,33,유한요소법개론,,,31,실험계획법및최적설계,47,소성학,47,소성학,,,,,37,생활속의생명과학,37,생활속의생명과학,37,생활속의생명과학,34,유체기계및설계,34,유체기계및설계,35,재료거동,35,재료거동,,,70,일반물리학(2),70,일반물리학(2),22,건설사업관리학,22,건설사업관리학,31,실험계획법및최적설계,31,실험계획법및최적설계,47,소성학,,,,,,,,,33,유한요소법개론,33,유한요소법개론,,,,,,,,,,
520,,,,,,,,,,,31,통계학,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,,,,,40,창의와소통,40,창의와소통,41,창의와소통,41,창의와소통,36,건축설비,,,36,건축설비,45,창의와소통,45,창의와소통,37,창의와소통,37,창의와소통,,,,,45,창의와소통,45,창의와소통,,,,,,,,,,,,,,,32,건축공사비견적,,,32,건축공사비견적,,,,,,,,,,,,,43,건축공학의이해,,,43,건축공학의이해,30,일반물리학(2),30,일반물리학(2),,,,,,,,,,,,,,
523,,,,,44,창의와소통,44,창의와소통,31,건축설비,8,CAU세미나(2),57,선형대수학,,,57,선형대수학,30,창의와소통,30,창의와소통,19,창의융합과미래설계,19,창의융합과미래설계,13,건축설계(2),,,,,,,,,17,건축연구(캡스톤디자인),,,,,17,건축연구(캡스톤디자인),31,건축설비,31,건축설비,47,건축재료및시공(1),,,47,건축재료및시공(1),39,건축재료와시공,,,39,건축재료와시공,,,49,앙트레프레너십시대의회계,49,앙트레프레너십시대의회계,27,친환경건축설비계획,,,27,친환경건축설비계획,,,,,,,,,13,건축설계(2),,,,,,,,
601,,,,,,,16,보안시스템 운영과 활용,,,16,보안시스템 운영과 활용,,,,,,,,,,,,,,,43,GF 참세미나(1),,,43,무역실무론,43,무역실무론,,,,,,,54,한국사,54,한국사,45,글쓰기,45,글쓰기,45,글쓰기,45,글쓰기,,,,,,,,,56,인간관계심리학,,,56,인간관계심리학,43,무역실무론,43,무역실무론,,,,,,,17,CAU세미나(2),,,,,,,,,,,,
602,,,,,,,,,,,,,38,기업가정신과창업론,,,38,기업가정신과창업론,,,,,,,,,30,응용확률론,30,응용확률론,,,,,,,,,,,,,,,44,글쓰기,44,글쓰기,19,글쓰기,19,글쓰기,,,,,,,,,,,30,응용확률론,30,응용확률론,59,기업가치분석,,,59,기업가치분석,,,,,,,,,,,,,,,,,,
603,,,37,거시경제학,37,거시경제학,,,,,,,,,,,,,,,,,,,,,59,경영정보시스템,59,경영정보시스템,53,경영정보시스템,53,경영정보시스템,,,,,37,거시경제학,37,거시경제학,55,음악의이해와감상,,,55,음악의이해와감상,46,파생금융상품론,,,46,파생금융상품론,,,,,,,,,59,경영정보시스템,59,경영정보시스템,53,경영정보시스템,53,경영정보시스템,,,,,,,,,16,마케팅리서치,,,16,마케팅리서치,59,기초통계학(2),,,59,기초통계학(2)
605,71,해상물품운송법,,,71,해상물품운송법,,,,,,,151,한국경제경영의이해(2),,,151,한국경제경영의이해(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,경제학개론(2),,,107,경제학개론(2),,,,,,,73,해상물품운송법,,,73,해상물품운송법,103,세무회계,,,103,세무회계,,,,,,,89,세무회계,,,89,세무회계,89,세무회계,,,89,세무회계
607,,,,,,,,,,,,,,,,,,,,,,,,,50,경영경제데이터분석 소프트웨어,,,50,경영경제데이터분석 소프트웨어,50,경영경제데이터분석 소프트웨어,,,50,경영경제데이터분석 소프트웨어,50,경영경제데이터분석 소프트웨어,,,50,50,경영경제데이터분석 소프트웨어,,,,50,경영경제데이터분석 소프트웨어,50,경영경제데이터분석 소프트웨어,,,50,경영경제데이터분석 소프트웨어,49,경영경제데이터분석 소프트웨어,,,49,경영경제데이터분석 소프트웨어,49,경영경제데이터분석 소프트웨어,,,49,경영경제데이터분석 소프트웨어,,,,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,73,회계학원론,73,회계학원론,49,회계학원론,80,회계학원론,80,회계학원론,,,,,79,회계학원론,,,79,회계학원론,,,,,79,인간행동과심리,,,79,인간행동과심리,100,마케팅,,,100,마케팅,73,회계학원론,73,회계학원론,49,회계학원론,80,회계학원론,80,회계학원론,,,,,79,회계학원론,79,회계학원론,,,,,,,98,사회적책임과기업윤리,,,98,사회적책임과기업윤리,25,경영통계학,,,25,경영통계학,89,글로벌무역 공급망 관리,,,89,글로벌무역 공급망 관리
612,,,45,인터렉티브브랜드커뮤니케이션,45,인터렉티브브랜드커뮤니케이션,,,,,,,78,조직행동론,78,조직행동론,,,,,44,BUSINESS COMMUNICATIONS(2),44,BUSINESS COMMUNICATIONS(2),,,49,BUSINESS COMMUNICATIONS(2),49,BUSINESS COMMUNICATIONS(2),33,생물통계학,,,33,생물통계학,,,45,인터렉티브브랜드커뮤니케이션,45,인터렉티브브랜드커뮤니케이션,73,소비자와시장,,,73,소비자와시장,78,조직행동론,78,조직행동론,,,,,44,BUSINESS COMMUNICATIONS(2),44,BUSINESS COMMUNICATIONS(2),,,49,BUSINESS COMMUNICATIONS(2),,,49,BUSINESS COMMUNICATIONS(2),,,,,,,,,59,GF 참세미나(3),49,금융통계,,,49,금융통계,,,,,,
613,84,기초전자회로,84,기초전자회로,,,89,통신공학,80,자동제어,80,자동제어,100,에너지변환공학,100,에너지변환공학,,,,,32,마음공학,90,통신공학,90,통신공학,84,수치해석,84,수치해석,84,반도체공학,84,반도체공학,,,39,에너지변환공학,39,에너지변환공학,89,통신공학,89,통신공학,84,회로및시스템,84,회로및시스템,71,감성디스플레이공학,,,71,감성디스플레이공학,32,마음공학,32,마음공학,90,통신공학,68,통신공학,,,,,84,반도체공학,,,,,,,,,,,,,84,회로및시스템,84,회로및시스템,,,,,,
616,,,82,논리회로,,,83,전자장,,,,,18,확률및통계,,,18,확률및통계,83,공업수학,83,공업수학,44,창의와소통,44,창의와소통,44,창의와소통,44,창의와소통,75,ASIC설계,75,ASIC설계,,,84,기초전자회로,69,기초전자회로,86,전자장,,,84,회로및시스템,81,논리회로,83,공업수학,,,83,공업수학,,,,,84,수치해석,78,논리회로,75,ASIC설계,,,,,,,,,,,,,84,회로및시스템,,,,,86,회로및시스템,84,ASIC설계,84,ASIC설계,,
617,,,39,에너지변환공학,80,에너지변환공학,,,80,자동제어,80,자동제어,80,기초전자회로,80,기초전자회로,,,52,공업수학,52,공업수학,78,논리회로,61,박막공학과 소자응용,58,알고리즘분석,58,알고리즘분석,,,,,,,,,,,80,에너지변환공학,80,에너지변환공학,80,자동제어,34,회로및시스템,,,32,기초전자회로,,,,,52,공업수학,24,앙트레프레너십시대의회계,24,앙트레프레너십시대의회계,45,논리회로,45,논리회로,63,전자장,,,63,전자장,46,아날로그및RF회로설계,,,46,아날로그및RF회로설계,,,,,58,알고리즘분석,,,,,,
618,37,공업수학,37,공업수학,32,인터페이스 물질전이론,32,인터페이스 물질전이론,16,나노융합분석학,33,탄소소재공학,50,세포생물학,,,,,,,,,,,66,물리화학(2),,,,,32,응용회로이론,32,응용회로이론,,,37,공업수학,32,인터페이스 물질전이론,,,16,나노융합분석학,33,탄소소재공학,,,50,세포생물학,,,,,,,,,,,66,물리화학(2),,,,,32,응용회로이론,32,응용회로이론,,,,,,,65,미적분학(2),65,미적분학(2),,,47,나노공학기초설계,,,,,47,나노공학기초설계
619,69,기초전자회로,69,기초전자회로,86,전자장,86,전자장,81,논리회로,81,논리회로,32,기초전자회로,32,기초전자회로,,,100,웹프로그래밍,100,웹프로그래밍,68,통신공학,68,통신공학,100,ASIC설계,100,ASIC설계,100,반도체공학,,,100,반도체공학,82,논리회로,82,논리회로,83,전자장,83,전자장,86,회로및시스템,86,회로및시스템,84,ASIC설계,,,,,,,100,웹프로그래밍,64,앙트레프레너십시대의회계,64,앙트레프레너십시대의회계,,,100,ASIC설계,54,앙트레프레너십시대의회계,54,앙트레프레너십시대의회계,,,,,,,,,,,34,회로및시스템,34,회로및시스템,,,,,,
